PLAYER,2019/20 ,2019/20(*)
Stephen Curry,"$40,231,758 ","$47,922,728 "
Chris Paul,"$38,506,482 ","$45,867,637 "
Russell Westbrook,"$38,506,482 ","$45,867,637 "
John Wall,"$38,199,000 ","$45,501,374 "
James Harden,"$38,199,000 ","$45,501,374 "
LeBron James,"$37,436,858 ","$44,593,536 "
Kevin Durant,"$37,199,000 ","$44,310,208 "
Blake Griffin,"$34,449,964 ","$41,035,648 "
Kyle Lowry,"$33,296,296 ","$39,661,437 "
Paul George,"$33,005,556 ","$39,315,117 "
Tobias Harris,"$32,742,000 ","$39,001,178 "
Jimmy Butler,"$32,742,000 ","$39,001,178 "
Kawhi Leonard,"$32,742,000 ","$39,001,178 "
Klay Thompson,"$32,742,000 ","$39,001,178 "
Kemba Walker,"$32,742,000 ","$39,001,178 "
Gordon Hayward,"$32,700,690 ","$38,951,971 "
Mike Conley,"$32,511,623 ","$38,726,761 "
Kyrie Irving,"$31,742,000 ","$37,810,011 "
Khris Middleton,"$30,603,448 ","$36,453,806 "
Paul Millsap,"$30,350,000 ","$36,151,907 "
Damian Lillard,"$29,802,321 ","$35,499,530 "
Kevin Love,"$28,942,830 ","$34,475,733 "
Al Horford,"$28,000,000 ","$33,352,666 "
Nikola Vucevic,"$28,000,000 ","$33,352,666 "
DeMar DeRozan,"$27,739,975 ","$33,042,933 "
CJ McCollum,"$27,556,959 ","$32,824,930 "
Joel Embiid,"$27,504,630 ","$32,762,598 "
Andrew Wiggins,"$27,504,630 ","$32,762,598 "
Nikola Jokic,"$27,504,630 ","$32,762,598 "
Devin Booker,"$27,285,000 ","$32,500,982 "
Karl-Anthony Towns,"$27,285,000 ","$32,500,982 "
D'Angelo Russell,"$27,285,000 ","$32,500,982 "
Kristaps Porzingis,"$27,285,000 ","$32,500,982 "
Otto Porter,"$27,250,576 ","$32,459,977 "
Anthony Davis,"$27,093,019 ","$32,272,300 "
Bradley Beal,"$27,093,018 ","$32,272,299 "
Hassan Whiteside,"$27,093,018 ","$32,272,299 "
Andre Drummond,"$27,093,018 ","$32,272,299 "
Jrue Holiday,"$26,131,111 ","$31,126,508 "
LaMarcus Aldridge,"$26,000,000 ","$30,970,332 "
Steven Adams,"$25,842,697 ","$30,782,958 "
Giannis Antetokounmpo,"$25,842,697 ","$30,782,958 "
Marc Gasol,"$25,595,700 ","$30,488,744 "
Nicolas Batum,"$25,565,217 ","$30,452,433 "
Rudy Gobert,"$25,258,427 ","$30,086,995 "
Chandler Parsons,"$25,102,512 ","$29,901,275 "
Harrison Barnes,"$24,147,727 ","$28,763,967 "
Serge Ibaka,"$23,271,604 ","$27,720,358 "
Danilo Gallinari,"$22,615,559 ","$26,938,899 "
Victor Oladipo,"$21,000,000 ","$25,014,499 "
Tim Hardaway Jr,"$20,025,127 ","$23,853,263 "
Malcolm Brogdon,"$20,000,000 ","$23,823,333 "
Terry Rozier,"$19,894,737 ","$23,697,947 "
Aaron Gordon,"$19,863,636 ","$23,660,900 "
Zach LaVine,"$19,500,000 ","$23,227,749 "
Kent Bazemore,"$19,269,663 ","$22,953,379 "
Goran Dragic,"$19,217,900 ","$22,891,721 "
Jeff Teague,"$19,000,000 ","$22,632,166 "
Evan Turner,"$18,606,556 ","$22,163,509 "
Draymond Green,"$18,539,130 ","$22,083,193 "
Tristan Thompson,"$18,539,130 ","$22,083,193 "
Gary Harris,"$18,189,286 ","$21,666,470 "
Julius Randle,"$18,000,000 ","$21,440,999 "
Myles Turner,"$18,000,000 ","$21,440,999 "
Derrick Favors,"$17,650,000 ","$21,024,091 "
Andre Iguodala,"$17,185,185 ","$20,470,419 "
Evan Fournier,"$17,150,000 ","$20,428,508 "
Bojan Bogdanovic,"$17,000,000 ","$20,249,833 "
Bismack Biyombo,"$17,000,000 ","$20,249,833 "
Clint Capela,"$16,896,552 ","$20,126,609 "
Gorgui Dieng,"$16,229,213 ","$19,331,697 "
Ricky Rubio,"$16,200,000 ","$19,296,899 "
Jonas Valanciunas,"$16,000,000 ","$19,058,666 "
Brandon Knight,"$15,643,750 ","$18,634,313 "
Kelly Oubre,"$15,625,000 ","$18,611,978 "
Eric Bledsoe,"$15,625,000 ","$18,611,978 "
Dennis Schroeder,"$15,500,000 ","$18,463,083 "
Ian Mahinmi,"$15,450,051 ","$18,403,585 "
James Johnson,"$15,349,400 ","$18,283,693 "
Bobby Portis,"$15,000,000 ","$17,867,499 "
Marcus Morris,"$15,000,000 ","$17,867,499 "
Danny Green,"$14,634,147 ","$17,431,707 "
Rudy Gay,"$14,500,000 ","$17,271,916 "
Cody Zeller,"$14,471,910 ","$17,238,456 "
Eric Gordon,"$14,057,730 ","$16,745,099 "
Mason Plumlee,"$14,041,096 ","$16,725,285 "
JJ Redick,"$13,486,300 ","$16,064,430 "
Jordan Clarkson,"$13,437,500 ","$16,006,301 "
Dewayne Dedmon,"$13,333,334 ","$15,882,222 "
Solomon Hill,"$13,290,395 ","$15,831,075 "
Justise Winslow,"$13,000,000 ","$15,485,166 "
Thaddeus Young,"$12,900,000 ","$15,366,049 "
Will Barton,"$12,776,786 ","$15,219,281 "
Courtney Lee,"$12,759,670 ","$15,198,893 "
Larry Nance Jr,"$12,727,273 ","$15,160,303 "
Patrick Mills,"$12,678,571 ","$15,102,290 "
Kelly Olynyk,"$12,667,885 ","$15,089,562 "
Marcus Smart,"$12,553,571 ","$14,953,395 "
Terrence Ross,"$12,500,000 ","$14,889,583 "
Patrick Beverley,"$12,345,680 ","$14,705,762 "
Trevor Ariza,"$12,200,000 ","$14,532,233 "
Brook Lopez,"$12,093,024 ","$14,404,806 "
Cory Joseph,"$12,000,000 ","$14,293,999 "
Jusuf Nurkic,"$12,000,000 ","$14,293,999 "
Joe Ingles,"$11,454,546 ","$13,644,273 "
Tony Snell,"$11,392,857 ","$13,570,791 "
Robert Covington,"$11,301,219 ","$13,461,635 "
Meyers Leonard,"$11,286,515 ","$13,444,120 "
TJ Warren,"$11,060,000 ","$13,174,303 "
Moe Harkless,"$11,011,234 ","$13,116,214 "
Andre Roberson,"$10,740,740 ","$12,794,011 "
Spencer Dinwiddie,"$10,605,600 ","$12,633,037 "
Jeremy Lamb,"$10,500,000 ","$12,507,249 "
Dwight Powell,"$10,259,375 ","$12,220,625 "
George Hill,"$10,133,907 ","$12,071,172 "
Norman Powell,"$10,116,576 ","$12,050,527 "
Josh Richardson,"$10,116,576 ","$12,050,527 "
Tyus Jones,"$10,116,000 ","$12,049,841 "
Tomas Satoransky,"$10,000,000 ","$11,911,666 "
